"course_no","class_no","year","semester","campus","college","dept","title","inst_name","credit","course_class","course_type","abeek_type"
"50023","62","2019","1","서울","대학(전체)  ","","COMMUNICATION IN ENGLISH","빌리스트러블","2","교양","이론","공통교양"
"42183","9","2019","1","서울","대학(전체)  ","","글쓰기","김미선","2","교양","이론","공통교양 / 전문교양"
"49949","50","2019","1","서울","대학(전체)  ","","창의와소통","김선규","2","교양","이론","공통교양"
"50646","1","2019","1","서울","창의ICT공과대학 "," 융합교양학부","ICT와 경영","한진영 ","2","교양","이론","MACH"
"53099","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," VR로 구현하는 공감 "," 이현정 ","1"," 교양 "," 실습 "," MACH"
"51240","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 게임아트와 내러티브 "," 이민하 ","1"," 교양 "," 실습 "," MACH"
"52817","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 경영의사결정 실습 "," 한진영 ","1"," 교양 "," 이론 "," MACH"
"53096","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 공감의 심리학 "," 이현정 ","2"," 교양 "," 이론 "," MACH"
"51888","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 디자인과 감성적사고 "," 이민하 ","2"," 교양 "," 이론 "," MACH"
"50390","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 스토리텔링 콘텐츠 제작 실습 "," 전종운 ","1"," 교양 "," 실습 "," MACH"
"50389","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 스토리텔링의 이해 "," 전종운 ","2"," 교양 "," 이론 "," MACH"
"50642","1","2019","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 이미지인문학 "," 김휘택 ","2"," 교양 "," 이론 "," MACH"
"42301","9","2019","1"," 서울 "," 대학(전체) ",""," 한국사 "," 김인식 ","2"," 교양 "," 이론 "," 공통교양/전문교양"
"53483","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," CAU세미나 "," 김무철 ","1"," 자유선택 "," 이론 ",""
"49359","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," IT개론 "," 김명호 ","3"," 전공 "," 이론 ",""
"51293","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 기초컴퓨터프로그래밍 "," 조용진 ","3"," 전공기초 "," 이론 "," 코드쉐어"
"49149","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 미적분학 "," 강수란 ","3"," 전공기초 "," 이론 "," BSM"
"17425","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 일반물리(1)   "," 윤옥자 ","3"," 전공기초 "," 이론 "," BSM"
"17437","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 일반물리실험(1)   "," 윤영귀 ","1"," 전공기초 "," 이론 "," BSM"
"53852","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 디지털미디어프로젝트 "," 박진완 ","3"," 전공 "," 이론 "," 설계1  "
"11185","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 선형대수학     "," 권준석 ","3"," 전공기초 "," 이론 "," BSM"
"49148","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 소프트웨어프로젝트 "," 박재현 ","3"," 전공 "," 이론 "," 설계1  "
"40989","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 자료구조 "," 강현철 ","3"," 전공필수 "," 이론 "," 코드쉐어"
"38714","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 창의적설계     "," 이재성 ","3"," 전공 "," 이론 "," 설계3"
"32734","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 컴퓨터시스템및어셈블리언어 "," 최광남 ","3"," 전공 "," 이론 ",""
"11934","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 수치해석     "," 이창하 ","3"," 전공 "," 이론 "," BSM"
"13601","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 알고리즘 "," 김대원 ","3"," 전공필수 "," 이론 "," 코드쉐어"
"53089","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 오픈소스SW프로젝트 "," 김효수 ","3"," 전공 "," 이론 ",""
"15841","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 운영체제 "," 김성조 ","3"," 전공 "," 이론 "," 코드쉐어"
"52321","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 컴파일러     "," 김중헌 ","3"," 전공 "," 이론 ",""
"50254","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 휴먼 ICT 소프트웨어공학 "," 이찬근 ","3"," 전공 "," 이론 "," 설계1  "
"34584","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," DB시스템및프로그래밍 "," 강현철 ","3"," 전공 "," 이론 "," 설계1  "
"53875","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," SW커리어세미나(1)   "," 강윤정 ","1"," 전공 "," 이론 ",""
"34579","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 네트워크응용설계     "," 백정엽 ","3"," 전공 "," 이론 "," 설계1  "
"53853","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 산업체인턴쉽 "," 홍원길 ","1"," 전공필수 "," 이론 ",""
"53091","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 생체인식 및 응용 "," 권영빈 ","3"," 전공 "," 이론 ",""
"53849","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 자연어처리 및 정보검색     "," 정재은 ","3"," 전공 "," 이론 ",""
"18927","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 정보보호이론 "," 김성권 ","3"," 전공 "," 이론 ",""
"50179","2","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 캡스톤디자인(2)   "," 박상오 ","2"," 전공 "," 이론 "," 설계2  "
"51282","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 컨텐츠기반무선이동통신     "," 조성래 ","3"," 전공 "," 이론 ",""
"21449","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 컴퓨터그래픽스 "," 윤경현 ","3"," 전공 "," 이론 ",""
"49147","1","2019","1"," 서울 "," 소프트웨어대학 "," 소프트웨어학부 "," 패턴인식     "," 홍병우 ","3"," 전공 "," 이론 ",""
"52816","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," MACH 포커스 "," 김휘택 이현정 한진영 이민하 ","2"," 교양 "," 이론 "," MACH"
"52815","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 공학도의 철학메모 "," 한진영 ","2"," 교양 "," 이론 "," MACH"
"51243","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 공학인을 위한 품질경영 "," 남승호 ","2"," 교양 "," 이론 "," MACH"
"53095","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 미래기술과 도시 "," 이현정 ","2"," 교양 "," 이론 "," MACH"
"52323","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 생활속의 ICT "," 최형 한진영 ","2"," 교양 "," 이론 "," MACH"
"52818","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 오픈데이터 기반 비즈니스 모델기획 "," 한진영 ","1"," 교양 "," 실습 "," MACH"
"51236","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 인문학적 사고와 스마트창업 "," 김휘택 김선규 ","2"," 교양 "," 이론 "," MACH"
"52820","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 창의적 문화 콘텐츠 읽기 실습 "," 김휘택 ","1"," 교양 "," 실습 "," MACH"
"51237","1","2018","1"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 창의적 문화분석 입문 "," 김휘택 ","2"," 교양 "," 이론 "," MACH"
"51288","1","2018","1"," 서울 "," 창의ICT공과대학 "," 소프트웨어전공 "," SW프로젝트   "," 박상오 ","3"," 전공 "," 이론 ",""
"53301","2","2018","1"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 감성컴퓨팅 "," 박재화 ","3"," 전공 "," 이론 ",""
"51286","1","2018","1"," 서울 "," 창의ICT공과대학 "," 소프트웨어전공 "," 자료구조론   "," 송인식 ","3"," 전공필수 "," 이론 ",""
"51287","1","2018","1"," 서울 "," 창의ICT공과대학 "," 소프트웨어전공 "," 컴퓨터시스템및어셈블리어 "," 최광남 ","3"," 전공 "," 이론 ",""
"34692","1","2018","1"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 데이타베이스설계 "," 이재성 ","3"," 전공 "," 이론 "," 설계1"
"21574","1","2018","1"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 컴퓨터통신 "," 박재현 ","3"," 전공 "," 이론 ",""
"53098","1","2018","2"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 공유 비즈니스 모델 실습 "," 이현정 ","1"," 교양 "," 실습 "," MACH"
"51889","1","2018","2"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 디자인 기초실습 "," 이민하 ","1"," 교양 "," 실습 "," MACH"
"50644","1","2018","2"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 인지행동 신경과학 "," 정유정 ","2"," 교양 "," 이론 "," MACH"
"50393","1","2018","2"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 창의적 디자인사고와 비즈니스모델 "," 이민하 ","2"," 교양 "," 이론 "," MACH"
"53097","1","2018","2"," 서울 "," 창의ICT공과대학 "," 융합교양학부 "," 초연결사회의 비즈니스 모델 "," 이현정 ","2"," 교양 "," 이론 "," MACH"
"5056","3","2018","2"," 서울 "," 창의ICT공과대학 "," 소프트웨어학부 "," 논리회로 "," 김상욱 ","3"," 전공기초 "," 이론 ",""
"17086","1","2018","2"," 서울 "," 창의ICT공과대학 "," 소프트웨어학부 "," 이산수학 "," 윤경현 ","3"," 전공기초 "," 이론 "," BSM"
"47710","1","2018","2"," 서울 "," 창의ICT공과대학 "," 소프트웨어학부 "," 프로그래밍   "," 김무철 ","3"," 전공기초 "," 이론 ",""
"49156","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 객체지향프로그래밍 "," 이남규 ","3"," 전공 "," 이론 "," 설계2"
"51289","1","2018","2"," 서울 "," 창의ICT공과대학 "," 소프트웨어전공 "," 알고리즘분석   "," 이재성 ","3"," 전공 "," 이론 ",""
"51292","2","2018","2"," 서울 "," 창의ICT공과대학 "," 소프트웨어전공 "," 컴퓨터구조론 "," 김상욱 ","3"," 전공필수 "," 이론 ",""
"51290","1","2018","2"," 서울 "," 창의ICT공과대학 "," 소프트웨어전공 "," 프로그래밍언어개론   "," 김중헌 ","3"," 전공 "," 이론 ",""
"30195","3","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 확률및통계 "," 김영주 ","3"," 전공 "," 이론 "," BSM"
"52811","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 리눅스 시스템 응용 설계 "," 박재화 ","3"," 전공 "," 이론 ",""
"47713","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 모바일 앱 개발 "," 박재현 ","3"," 전공 "," 이론 "," 코드쉐어"
"53090","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 산업체핸즈온 프로젝트 "," 김대훈 ","3"," 전공 "," 이론 ",""
"52320","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 웹프로그래밍   "," 송인식 ","3"," 전공 "," 이론 ",""
"50178","2","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 캡스톤디자인(1) "," 박상오 ","2"," 전공 "," 이론 "," 설계2"
"51280","2","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 휴먼ICT인공지능   "," 이재성 ","3"," 전공 "," 이론 "," 설계1"
"51281","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 휴먼인터페이스미디어 "," 박재화 ","3"," 전공 "," 이론 ",""
"33752","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 내장형시스템설계   "," 박상오 ","3"," 전공 "," 이론 ",""
"53509","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 디자인 Thinking "," 김대훈 ","3"," 전공 "," 이론 ",""
"32741","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 설계패턴 "," 이찬근 ","3"," 전공 "," 이론 ",""
"14871","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 영상처리   "," 최광남 ","3"," 전공 "," 이론 ",""
"29085","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 정보표준화 "," 권영빈 ","3"," 전공 "," 이론 ",""
"50256","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 휴먼인터페이스 영상   "," 홍병우 ","3"," 전공 "," 이론 ",""
"49872","1","2018","2"," 서울 "," 창의ICT공과대학 "," 컴퓨터공학부 "," 휴먼인터페이스 컴퓨터게임설계   "," 이창하 ","3"," 전공 "," 이론 ",""
